timestamp,temperature(°C),pressure(bar),usage(hours)
2024-06-01 00:00:00,25,1.148767303272236,120
2024-06-01 01:00:00,20,1.0283564886587215,121
2024-06-01 02:00:00,23,1.1363281472900566,122
2024-06-01 03:00:00,23,1.238832558660675,123
2024-06-01 04:00:00,27,1.4060843643877465,124
2024-06-01 05:00:00,29,1.2399885861875286,125
2024-06-01 06:00:00,23,1.1963923980504148,126
2024-06-01 07:00:00,25,1.4180393817686887,127
2024-06-01 08:00:00,22,1.1686980802086342,128
2024-06-01 09:00:00,24,1.3240859360255985,129
